AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;E;site
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;3;776;ads h
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;3;747;ads hE
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;4;728;abs top
Zr;319.7 ;hcp;0001;2;9;3.00;12.26;4.60;1.59;4.95;6;887;abs hE
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;1;380;ads t
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;2;799;ads bL
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;5;583;ads h
Zr;319.7 ;hcp;1010;2;8;3.04;12.58;-0.38;1.63;3.15;5;805;abs bS
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;3;808;ads h
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;8;792;abs top
Zr;319.7;hcp;1120;2;7;2.41;10.86;0.08;1.64;3.38;6;930;abs bS
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;3;397;ads hE
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;4;421;abs top
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;4;438;abs h
Zn;289.0;hcp;0001;10;9;-7.21;-2.04;-6.92;0.35;4.12;6;461;abs hE
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;4;225;ads h
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;3;382;abs top
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;5;421;abs bS
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;5;413;abs bL
Zn;289.0;hcp;1010;10;8;-6.97;-2.43;-6.80;0.57;2.52;3;337;abs h
Zn;289.0;hcp;1120;10;7;-7.12;-2.35;-6.76;0.91;2.62;3;509;ads h
Zn;289.0;hcp;1120;10;7;-7.12;-2.35;-6.76;0.91;2.62;8;491;abs top
Zn;289.0;hcp;1120;10;7;-7.12;-2.35;-6.76;0.91;2.62;6;531;abs bS
Y;354.3;hcp;0001;1;9;3.80;12.27;5.51;1.00;3.74;3;739;ads h
Y;354.3;hcp;0001;1;9;3.80;12.27;5.51;1.00;3.74;4;736;abs top
Y;354.3;hcp;0001;1;9;3.80;12.27;5.51;1.00;3.74;6;831;abs hE
Y;354.3;hcp;1010;1;8;3.63;11.93;4.38;0.98;2.67;2;724;ads bL
Y;354.3;hcp;1010;1;8;3.63;11.93;4.38;0.98;2.67;4;616;ads h
Y;354.3;hcp;1010;1;8;3.63;11.93;4.38;0.98;2.67;3;670;abs top
Y;354.3;hcp;1010;1;8;3.63;11.93;4.38;0.98;2.67;5;790;abs bS
Y;354.3;hcp;1120;1;7;3.08;10.47;2.98;1.02;2.94;3;781;ads h
Y;354.3;hcp;1120;1;7;3.08;10.47;2.98;1.02;2.94;8;755;abs top
Y;354.3;hcp;1120;1;7;3.08;10.47;2.98;1.02;2.94;6;836;abs bS
Ti;288.4;hcp;0001;2;9;3.07;14.71;2.95;1.97;5.89;3;779;ads h
Ti;288.4;hcp;0001;2;9;3.07;14.71;2.95;1.97;5.89;3;757;ads hE
Ti;288.4;hcp;0001;2;9;3.07;14.71;2.95;1.97;5.89;4;702;abs top
Ti;288.4;hcp;0001;2;9;3.07;14.71;2.95;1.97;5.89;6;881;abs hE
Ti;288.4;hcp;1010;2;8;2.96;14.51;3.20;2.00;3.74;2;830;ads bL
Ti;288.4;hcp;1010;2;8;2.96;14.51;3.20;2.00;3.74;4;688;ads h
Ti;288.4;hcp;1010;2;8;2.96;14.51;3.20;2.00;3.74;3;705;abs top
Ti;288.4;hcp;1010;2;8;2.96;14.51;3.20;2.00;3.74;5;812;abs bS
Ti;288.4;hcp;1120;2;7;2.42;12.99;3.36;1.88;3.96;3;843;ads h
Ti;288.4;hcp;1120;2;7;2.42;12.99;3.36;1.88;3.96;8;787;abs top
Ti;288.4;hcp;1120;2;7;2.42;12.99;3.36;1.88;3.96;6;927;abs bS
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;1;468;ads top
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;3;698;ads h
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;3;684;ads hE
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;4;567;abs h
Tc;272.2;hcp;0001;5;9;-0.50;6.15;-0.59;2.22;5.98;6;669;abs hE
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;1;594;ads top
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;2;751;ads bS
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;2;781;ads bL
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;4;571;ads h
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;3;527;abs top
Tc;272.2;hcp;1010;5;8;-0.68;5.35;2.13;3.43;3.80;5;608;abs bS
Tc;272.2;hcp;1120;5;7;-0.84;5.73;1.21;2.69;4.67;2;607;ads bS
Tc;272.2;hcp;1120;5;7;-0.84;5.73;1.21;2.69;4.67;3;690;ads h
Tc;272.2;hcp;1120;5;7;-0.84;5.73;1.21;2.69;4.67;8;626;abs top
Tc;272.2;hcp;1120;5;7;-0.84;5.73;1.21;2.69;4.67;6;664;abs bS
Sc;321.4;hcp;0001;1;9;3.61;14.22;3.27;1.28;4.11;3;753;ads h
Sc;321.4;hcp;0001;1;9;3.61;14.22;3.27;1.28;4.11;4;739;abs top
Sc;321.4;hcp;0001;1;9;3.61;14.22;3.27;1.28;4.11;6;871;abs hE
Sc;321.4;hcp;1010;1;8;3.71;14.67;2.77;1.21;2.88;2;752;ads bL
Sc;321.4;hcp;1010;1;8;3.71;14.67;2.77;1.21;2.88;4;665;ads h
Sc;321.4;hcp;1010;1;8;3.71;14.67;2.77;1.21;2.88;3;688;abs top
Sc;321.4;hcp;1010;1;8;3.71;14.67;2.77;1.21;2.88;5;801;abs bS
Sc;321.4;hcp;1120;1;7;3.16;13.07;2.36;1.26;3.14;3;841;ads h
Sc;321.4;hcp;1120;1;7;3.16;13.07;2.36;1.26;3.14;8;794;abs top
Sc;321.4;hcp;1120;1;7;3.16;13.07;2.36;1.26;3.14;6;882;abs bS
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;1;502;ads top
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;3;718;ads h
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;3;654;ads hE
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;4;571;abs top
Ru;265.8;hcp;0001;7;9;-1.42;4.48;0.84;2.55;7.54;6;607;abs hE
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;1;555;ads top
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;2;664;ads bS
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;2;716;ads bL
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;4;538;ads h
Ru;265.8;hcp;1010;7;8;-1.29;4.83;0.88;2.87;4.88;5;602;abs bS
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;1;555;ads top
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;2;666;ads bS
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;2;732;ads bL
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;3;729;ads h
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;8;643;abs top
Ru;265.8;hcp;1120;7;7;-1.27;5.07;1.58;3.32;5.71;6;689;abs bS
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;1;490;ads top
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;3;732;ads h
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;3;739;ads hE
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;4;525;abs top
Re;275.5;hcp;0001;5;9;1.22;14.31;16.41;2.60;7.08;6;701;abs hE
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;1;515;ads top
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;2;694;ads bS
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;2;731;ads bL
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;4;491;ads h
Re;275.5;hcp;1010;5;8;0.99;13.50;3.37;2.93;4.58;5;600;abs bS
Re;275.5;hcp;1120;5;7;0.84;14.01;2.28;3.12;5.53;2;623;ads bS
Re;275.5;hcp;1120;5;7;0.84;14.01;2.28;3.12;5.53;3;684;ads h
Re;275.5;hcp;1120;5;7;0.84;14.01;2.28;3.12;5.53;6;591;abs top
Re;275.5;hcp;1120;5;7;0.84;14.01;2.28;3.12;5.53;6;584;abs bS
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;1;490;ads top
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;3;721;ads h
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;3;655;ads hE
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;4;502;abs top
Os;269.4;hcp;0001;6;9;-0.43;12.06;2.18;2.91;7.80;6;508;abs hE
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;1;576;ads top
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;2;679;ads bS
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;2;699;ads bL
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;4;504;ads h
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;3;576;abs top
Os;269.4;hcp;1010;6;8;-0.35;11.95;1.34;3.32;5.12;5;513;abs bS
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;1;582;ads top
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;2;698;ads bS
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;3;716;ads h
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;8;615;abs top
Os;269.4;hcp;1120;6;7;-0.41;11.94;-0.10;4.02;5.93;6;608;abs bS
Hf;313.9;hcp;0001;2;9;2.91;11.88;5.70;1.71;5.38;3;790;ads h
Hf;313.9;hcp;0001;2;9;2.91;11.88;5.70;1.71;5.38;3;756;ads hE
Hf;313.9;hcp;0001;2;9;2.91;11.88;5.70;1.71;5.38;4;713;abs top
Hf;313.9;hcp;0001;2;9;2.91;11.88;5.70;1.71;5.38;6;896;abs hE
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;1;382;ads top
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;2;823;ads bL
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;4;517;ads h
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;3;636;abs top
Hf;313.9;hcp;1010;2;8;2.71;11.33;2.61;1.84;3.44;5;816;abs bS
Hf;313.9;hcp;1120;2;7;2.26;10.00;3.30;1.83;3.63;3;806;ads h
Hf;313.9;hcp;1120;2;7;2.26;10.00;3.30;1.83;3.63;8;767;abs top
Hf;313.9;hcp;1120;2;7;2.26;10.00;3.30;1.83;3.63;6;941;abs bS
Co;247.0;hcp;0001;7;9;-0.51;7.97;-3.81;2.10;5.73;3;660;ads h
Co;247.0;hcp;0001;7;9;-0.51;7.97;-3.81;2.10;5.73;3;638;ads hE
Co;247.0;hcp;0001;7;9;-0.51;7.97;-3.81;2.10;5.73;4;572;abs top
Co;247.0;hcp;0001;7;9;-0.51;7.97;-3.81;2.10;5.73;4;581;abs h
Co;247.0;hcp;0001;7;9;-0.51;7.97;-3.81;2.10;5.73;6;652;abs hE
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;1;465;ads top
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;2;583;ads bS
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;2;666;ads bL
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;4;523;ads h
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;3;550;abs top
Co;247.0;hcp;1010;7;8;-0.60;7.34;-1.66;2.26;3.58;5;589;abs bS
Co;247.0;hcp;1120;7;7;-0.74;6.87;-0.73;2.44;4.12;1;529;ads top
Co;247.0;hcp;1120;7;7;-0.74;6.87;-0.73;2.44;4.12;2;567;ads bS
Co;247.0;hcp;1120;7;7;-0.74;6.87;-0.73;2.44;4.12;3;691;ads h
Co;247.0;hcp;1120;7;7;-0.74;6.87;-0.73;2.44;4.12;8;608;abs top
Co;247.0;hcp;1120;7;7;-0.74;6.87;-0.73;2.44;4.12;6;661;abs bS
Cd;330.6;hcp;0001;10;9;-8.70;-3.82;-8.38;0.20;3.89;3;344;ads hE
Cd;330.6;hcp;0001;10;9;-8.70;-3.82;-8.38;0.20;3.89;4;367;abs top
Cd;330.6;hcp;0001;10;9;-8.70;-3.82;-8.38;0.20;3.89;4;383;abs h
Cd;330.6;hcp;0001;10;9;-8.70;-3.82;-8.38;0.20;3.89;6;397;abs hE
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;1;183;ads top
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;4;157;ads h
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;3;345;abs top
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;5;384;abs bS
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;5;377;abs bL
Cd;330.6;hcp;1010;10;8;-8.63;-3.87;-8.30;0.61;2.37;3;290;abs h
Cd;330.6;hcp;1120;10;7;-8.48;-3.81;-8.09;0.50;2.77;3;411;ads h
Cd;330.6;hcp;1120;10;7;-8.48;-3.81;-8.09;0.50;2.77;8;404;abs top
Cd;330.6;hcp;1120;10;7;-8.48;-3.81;-8.09;0.50;2.77;6;441;abs bS
Rh;271.7;fcc;001;8;8;-1.52;4.80;0.79;2.27;6.43;1;513;ads top
Rh;271.7;fcc;001;8;8;-1.52;4.80;0.79;2.27;6.43;2;638;ads b
Rh;271.7;fcc;001;8;8;-1.52;4.80;0.79;2.27;6.43;4;777;ads h
Rh;271.7;fcc;001;8;8;-1.52;4.80;0.79;2.27;6.43;6;654;abs top
Rh;271.7;fcc;001;8;8;-1.52;4.80;0.79;2.27;6.43;4;613;abs b
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;1;523;ads top
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;2;651;ads bS
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;2;717;ads bL
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;4;633;ads h
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;6;560;abs top
Rh;271.7;fcc;011;8;7;-1.56;4.57;0.25;2.29;4.97;4;658;abs bS
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;1;498;ads top
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;3;686;ads h fcc
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;3;706;ads h hcp
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;4;631;abs top
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;6;684;abs h fcc
Rh;271.7;fcc;111;8;9;-1.64;3.84;-3.64;1.72;6.89;4;612;abc h hcp
Pt;281.1;fcc;001;9;8;-2.03;4.08;-0.85;1.90;6.89;1;501;ads top
Pt;281.1;fcc;001;9;8;-2.03;4.08;-0.85;1.90;6.89;2;642;ads b
Pt;281.1;fcc;001;9;8;-2.03;4.08;-0.85;1.90;6.89;4;751;ads h
Pt;281.1;fcc;001;9;8;-2.03;4.08;-0.85;1.90;6.89;6;608;abs top
Pt;281.1;fcc;001;9;8;-2.03;4.08;-0.85;1.90;6.89;4;677;abs b
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;1;531;ads top
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;2;662;ads bS
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;4;616;ads h
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;6;542;abs top
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;4;661;abs bS
Pt;281.1;fcc;011;9;7;-2.04;3.74;0.09;1.95;5.54;4;715;abs bL
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;1;479;ads top
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;3;707;ads h fcc
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;3;697;ads h hcp
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;4;650;abs top
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;6;652;abs h fcc
Pt;281.1;fcc;111;9;9;-2.16;3.80;-0.19;1.56;7.34;4;696;abs h hcp
Pd;279.4;fcc;001;10;8;-1.72;1.53;-1.39;1.50;5.12;1;428;ads top
Pd;279.4;fcc;001;10;8;-1.72;1.53;-1.39;1.50;5.12;2;599;ads b
Pd;279.4;fcc;001;10;8;-1.72;1.53;-1.39;1.50;5.12;6;728;abs top
