AS;Interatomic Distance (pm);CS;MI;nd;cn sur;Ed (eV);Edw (eV);Eu (eV);SE (J/m2);WF (eV);cn ADS;E;site
Pd;279.4;fcc;001;10;8;-1.72;1.53;-1.39;1.50;5.12;4;695;abs b
Pd;279.4;fcc;001;10;8;-1.72;1.53;-1.39;1.50;5.12;4;781;abs h
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;1;438;ads top
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;2;613;ads bS
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;4;685;ads h
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;6;646;abs top
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;4;748;abs bS
Pd;279.4;fcc;011;10;7;-1.72;1.42;0.00;1.54;4.02;4;742;abs bL
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;1;423;ads top
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;3;680;ads h fcc
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;3;682;ads h hcp
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;4;685;abs top
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;6;751;abs h fcc
Pd;279.4;fcc;111;10;9;-1.83;1.47;0.00;1.14;5.49;4;705;abs h hcp
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;1;432;ads top
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;2;582;ads b
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;4;792;ads h
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;6;684;abs top
Ni;248.9;fcc;001;8;8;-1.39;4.97;-2.03;2.19;5.00;4;612;abs b
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;1;423;ads top
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;2;578;ads bS
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;2;711;ads bL
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;4;697;ads h
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;6;610;abs top
Ni;248.9;fcc;011;8;7;-1.26;4.88;-0.45;2.27;3.88;4;708;abs bS
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;1;424;ads top
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;3;647;ads h fcc
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;3;651;ads h hcp
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;4;605;abs top
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;6;708;abs h fcc
Ni;248.9;fcc;111;8;9;-1.65;4.51;-2.27;1.93;5.43;4;593;abs h hcp
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;1;543;ads top
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;2;656;ads b
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;4;761;ads h
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;6;505;abs top
Ir;274.1;fcc;001;7;8;-0.63;12.04;-0.35;2.79;8.13;4;527;abs b
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;1;577;ads top
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;2;697;ads bS
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;2;698;ads bL
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;4;600;ads h
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;6;412;abs top
Ir;274.1;fcc;011;7;7;-0.69;11.84;1.69;2.79;6.38;4;530;abs bS
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;1;534;ads top
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;3;697;ads h fcc
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;3;720;ads h hcp
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;4;555;abs top
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;6;588;abs h fcc
Ir;274.1;fcc;111;7;9;-0.99;11.22;-2.86;2.05;8.04;4;559;abs h hcp
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;1;292;ads top
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;2;419;ads b
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;4;584;ads h
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;6;455;abs top
Cu;256.7;fcc;001;10;8;-2.29;2.14;-1.46;1.46;4.08;4;442;abs b
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;1;266;ads top
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;2;528;ads bL
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;4;546;ads h
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;6;459;abs top
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;4;538;abs bS
Cu;256.7;fcc;011;10;7;-2.29;2.06;-1.44;1.51;3.35;6;438;abs h
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;1;256;ads top
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;3;440;ads h fcc
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;3;436;ads h hcp
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;4;383;abs top
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;6;482;abs h fcc
Cu;256.7;fcc;111;10;9;-2.56;2.00;-1.72;1.28;4.53;4;394;abs h hcp
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;1;238;ads top
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;2;391;ads b
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;4;447;ads h
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;6;329;abs top
Au;295.0;fcc;001;10;8;-3.21;1.20;-3.09;0.86;5.41;4;413;abs b
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;1;246;ads top
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;2;395;ads bS
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;401;ads h
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;6;314;abs top
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;420;abs bS
Au;295.0;fcc;011;10;7;-3.21;1.09;-1.75;0.86;4.43;4;417;abs bL
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;1;211;ads top
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;3;414;ads h fcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;3;403;ads h bcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;4;310;abs top
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;6;350;abs h fcc
Au;295.0;fcc;111;10;9;-3.39;1.12;-2.08;0.68;5.89;4;389;abs h hcp
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;1;176;ads top
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;2;250;ads b
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;4;398;ads h
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;6;310;abs top
Ag;294.1;fcc;001;10;8;-3.87;-0.34;-3.19;0.80;3.87;4;311;abs b
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;1;170;ads top
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;2;364;ads bL
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;4;364;ads h
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;6;317;abs top
Ag;294.1;fcc;011;10;7;-3.91;-0.44;-2.92;0.83;3.22;4;379;abs bS
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;1;161;ads top
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;3;320;ads h fcc
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;3;314;ads h hcp
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;4;268;abs top
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;6;338;abs h fcc
Ag;294.1;fcc;111;10;9;-4.05;-0.41;-5.13;0.69;4.26;4;294;abs h hcp
W;275.1;bcc;001;4;4;2.54;16.84;0.07;3.89;5.41;1;522;ads top
W;275.1;bcc;001;4;4;2.54;16.84;0.07;3.89;5.41;2;736;ads b
W;275.1;bcc;001;4;4;2.54;16.84;0.07;3.89;5.41;4;951;ads h
W;275.1;bcc;001;4;4;2.54;16.84;0.07;3.89;5.41;4;796;abs b
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;1;447;ads top
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;2;672;ads b
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;4;763;ads h
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;3;496;abs top
W;275.1;bcc;011;4;6;1.93;15.27;3.89;3.14;7.11;6;626;abs hT
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;1;416;ads top
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;2;717;ads b
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;3;576;ads h fcc
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;3;499;ads h hcp
W;275.1;bcc;111;4;4;2.63;10.77;-1.34;3.47;3.97;8;412;abs top
V;257.7;bcc;001;3;4;3.26;15.83;0.46;2.40;4.57;1;431;ads top
V;257.7;bcc;001;3;4;3.26;15.83;0.46;2.40;4.57;2;722;ads b
V;257.7;bcc;001;3;4;3.26;15.83;0.46;2.40;4.57;4;898;ads h
V;257.7;bcc;001;3;4;3.26;15.83;0.46;2.40;4.57;4;769;abs b
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;1;478;ads top
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;2;769;ads b
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;4;806;ads h
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;6;738;ads top
V;257.7;bcc;011;3;6;3.73;16.66;3.01;2.41;5.79;6;815;abs hT
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;1;364;ads top
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;2;770;ads b
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;3;773;ads h fcc
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;3;636;ads h hcp
V;257.7;bcc;111;3;4;3.97;12.29;1.85;2.70;3.17;8;599;abs top
Ta;287.5;bcc;001;3;4;1.99;11.39;4.61;2.51;4.43;1;404;ads top
Ta;287.5;bcc;001;3;4;1.99;11.39;4.61;2.51;4.43;2;640;ads b
Ta;287.5;bcc;001;3;4;1.99;11.39;4.61;2.51;4.43;4;915;ads h
Ta;287.5;bcc;001;3;4;1.99;11.39;4.61;2.51;4.43;4;740;abs b
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;1;438;ads top
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;2;645;ads b
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;4;773;ads h
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;3;696;abs top
Ta;287.5;bcc;011;3;6;2.95;13.88;5.04;2.56;6.25;6;819;abs hT
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;1;373;ads top
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;2;747;ads b
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;3;619;ads h fcc
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;3;556;ads h hcp
Ta;287.5;bcc;111;3;4;2.77;9.10;2.53;2.72;3.15;8;539;abs top
Nb;287.3;bcc;001;4;4;0.50;5.50;0.58;2.35;4.06;1;436;ads top
Nb;287.3;bcc;001;4;4;0.50;5.50;0.58;2.35;4.06;2;645;ads b
Nb;287.3;bcc;001;4;4;0.50;5.50;0.58;2.35;4.06;4;902;ads h
Nb;287.3;bcc;001;4;4;0.50;5.50;0.58;2.35;4.06;4;740;abs b
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;1;446;ads top
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;2;636;ads b
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;4;770;ads h
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;3;722;abs top
Nb;287.3;bcc;011;4;6;0.92;6.32;4.29;2.14;5.37;6;798;abs hT
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;1;353;ads top
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;2;716;ads b
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;3;636;ads h fcc
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;3;526;ads h hcp
Nb;287.3;bcc;111;4;4;0.98;3.23;3.17;2.36;2.88;8;550;abs top
Mo;274.9;bcc;001;5;4;0.14;5.89;-0.21;3.01;5.65;1;512;ads top
Mo;274.9;bcc;001;5;4;0.14;5.89;-0.21;3.01;5.65;2;684;ads b
Mo;274.9;bcc;001;5;4;0.14;5.89;-0.21;3.01;5.65;4;888;ads h
Mo;274.9;bcc;001;5;4;0.14;5.89;-0.21;3.01;5.65;4;749;abs b
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;1;477;ads top
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;2;668;ads b
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;4;756;ads h
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;3;566;abs top
Mo;274.9;bcc;011;5;6;-0.27;5.12;2.74;2.64;7.28;6;679;abs hT
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;1;450;ads top
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;2;735;ads b
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;3;620;ads fcc
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;3;537;ads hcp
Mo;274.9;bcc;111;5;4;-0.12;1.96;2.49;2.98;4.17;8;508;abs top
Fe;245.3;bcc;001;6;4;0.47;10.01;-2.15;2.58;4.36;1;526;ads top
Fe;245.3;bcc;001;6;4;0.47;10.01;-2.15;2.58;4.36;2;696;ads b
Fe;245.3;bcc;001;6;4;0.47;10.01;-2.15;2.58;4.36;4;817;ads h
Fe;245.3;bcc;001;6;4;0.47;10.01;-2.15;2.58;4.36;4;692;abs b
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;1;691;ads top
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;2;821;ads b
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;4;894;ads h
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;3;823;abs top
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;5;770;abs h
Fe;245.3;bcc;011;6;6;0.67;10.22;0.07;2.93;6.51;6;849;abs hT
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;1;495;ads top
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;2;748;ads b
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;3;728;ads h fcc
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;3;505;ads h hcp
Fe;245.3;bcc;111;6;4;0.19;8.58;-2.77;2.67;3.00;8;673;abs top
Cr;245.9;bcc;001;5;4;0.01;5.55;1.44;3.42;5.08;1;540;ads top
Cr;245.9;bcc;001;5;4;0.01;5.55;1.44;3.42;5.08;2;683;ads b
Cr;245.9;bcc;001;5;4;0.01;5.55;1.44;3.42;5.08;4;915;ads h
Cr;245.9;bcc;001;5;4;0.01;5.55;1.44;3.42;5.08;4;777;abs b
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;1;487;ads top
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;2;659;ads b
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;4;750;ads h
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;3;629;abs top
Cr;245.9;bcc;011;5;6;-0.28;5.33;2.24;3.29;7.37;6;666;abs hT
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;1;421;ads top
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;2;755;ads b
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;3;729;ads h fcc
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;3;637;ads h hcp
Cr;245.9;bcc;111;5;4;-0.16;-0.09;-0.84;3.40;3.68;8;544;abs top
